Id,FirstName,LastName,Gpa,Age
435,Arnold,Abaaho,3.65,39
676,Amon,Abaho,2.42,41
96,Balaam,Abaho,2.48,34
1119,Balaam,Abaho,1.95,33
258,Rogers,Abaho,2.4,37
812,Ally,Abdallah,2.39,26
1713,Najib,Abdulaziz,2.09,38
16,Jorem,Abeisa,2.75,33
1923,Franseska,Abeja,2.13,29
2211,Anita,Abenakyo,2.71,31
1881,Brenda,Aber,1.93,35
1320,Jackline,Aber,3.97,34
656,Kevin,Aber,3.54,37
2681,Patricia,Aber,1.13,20
732,Teddy,Abia,3.47,29
1973,Billy,Abima,2.94,24
1648,Esther,Abimanya,2.23,28
3191,Mildred,Abitegeka,2.23,27
741,Sophia,Abok,3.65,35
90,Sandra,Aboth,1.55,28
806,Nancy,Abua,3.55,21
1619,Hamidah,Abulo,1.6,23
2155,John,Abunyang,3.84,24
1436,Godfrey,Acaku,3.35,21
1402,Harriet,Acara,2.86,22
501,Moses,Acema,3.76,21
1242,Brenda,Acen,1.29,26
1803,Jackline,Acen,3.22,35
380,Esther,Achan,3.33,24
1412,Ramlat,Achan,2.2,28
358,Judith,Achanda,3.63,37
1163,Sheila,Achebo,2.21,22
705,Caroline,Acheng,1.29,21
1154,Scovia,Achieng,3.13,26
573,Pamela,Achiro,1.39,37
1209,Catherine,Achola,1.14,41
2078,Loyce,Acipa,2.9,30
2049,Policarp,Acire,1.96,22
1208,Beatrice,Aciro,2.67,32
658,Harriet,Aciro,1.6,23
1267,Clere,Acom,3.68,25
2933,Edward,Acuma,2.34,29
121,Tonny,Acup,2.58,22
1506,Denis,Adei,1.3,33
2100,Elizabeth,Adikini,1.97,31
1501,Scholar,Adikini,1.13,36
488,Mary,Adioci,1.46,26
1159,Thomas,Adior,3.21,29
452,Gloria,Adiru,3.73,30
662,Ronald,Adomati,3.96,36
1254,Betty,Adong,1.98,22
1892,Elizabeth,Adong,1.24,37
257,Evalyne,Adong,1.73,35
926,Himper,Adong,2.98,21
1806,Sarah,Adong,3,20
1934,Susan,Adong,3.28,45
1543,Eunice,Adongo,1.98,25
2685,Patricia,Adongo,1.58,33
201,Priscilla,Adongo,2.15,38
986,Sharon,Adongo,3.76,32
1957,Gilbert,Adriko,2.09,33
1038,Leonard,Adriko,2.16,42
2302,Eddie,Adupa,1.69,45
369,Alex,Agaba,3.78,41
1494,Bruse,Agaba,3.52,40
349,Christon,Agaba,1.28,33
411,Cicia,Agaba,1.54,41
1331,Edgar,Agaba,2.09,42
997,Felix,Agaba,1.96,31
192,Isa,Agaba,1.04,30
1,Ivan,Agaba,2.22,21
1546,Jaspar,Agaba,1.15,43
57,John,Agaba,2.28,24
140,John,Agaba,1.98,38
1653,Lamson,Agaba,2.46,42
546,Peter,Agaba,3.5,24
2293,Tobius,Agaba,3.88,33
1503,Asianut,Agaja,2.91,24
61,Francis,Agama,2.53,38
1034,Fred,Agasa,3.09,39
2172,Mistika,Agenanga,1.01,24
2056,Sarah,Agero,1.74,38
2988,Isaac,Agiira,3.72,35
33,Benjamin,Agilu,2.19,29
2258,Demita,Agiro,1.75,45
1256,Mary,Agudo,1.85,37
221,Prima,Agumeneitwe,2.32,20
853,Ronald,Agumeneitwe,3.71,41
718,Christine,Agute,2.45,26
723,Cecilia,Aguti,2.41,20
285,Christine,Aguti,2.85,32
172,Jane,Aguti,3.88,38
485,Jasinta,Aguti,3.32,39
84,Racheal,Aguti,2.58,30
1171,Winnie,Aguti,1.28,28
390,Mathew,Agwenyi,2.86,27
77,Winnie,Agwero,1.85,40
3201,Chris,Ahabwe,3.82,29
973,Mark,Ahamya,2.07,31
1809,Joab,Aharizira,1.37,36
1895,Joan,Aheebwa,3.14,38
3038,Joseph,Aheebwa,2.6,21
1776,Andrew,Ahereza,1.08,39
2273,Deric,Ahereza,2.33,25
833,Noelina,Ahereza,1.71,42
204,Victor,Ahereza,2.8,32
1428,Ronald,Ahikiriza,2.76,25
1748,Dickson,Ahimbisibwe,1.41,36
445,Faith,Ahimbisibwe,3.21,24
91,Isaac,Ahimbisibwe,2.42,22
3060,James,Ahimbisibwe,2.27,24
1170,Nicholas,Ahimbisiibwe,2.25,24
284,Devis,Ahumuza,2.52,20
1681,Mackline,Ahurira,3.2,21
2189,Monica,Aido,1.6,24
2336,Juventine,Aidu,2.03,35
1688,John,Aiita,3.7,43
2004,Godrick,Aina,2.03,21
1480,Aaron,Ainamani,1.82,37
3158,Boaz,Aine,3.54,40
1929,Emmanuel,Aine,1.22,20
802,Judith,Aine,1.81,34
2063,Gerald,Aineamani,2.13,32
653,Aggrey,Ainebyona,3.33,37
367,Arthur,Ainebyona,2.49,37
1523,Edigar,Ainebyona,1.17,37
246,Emmanuel,Ainebyona,1.14,22
694,Evidence,Ainebyona,3.41,44
2203,Joshua,Ainebyona,1.66,45
3009,Paddy,Ainebyona,1.37,37
503,Joab,Ainebyoona,3.14,38
944,Arnold,Ainembabazi,3.53,45
1531,Isaac,Ainembabazi,3.87,37
506,Josephine,Ainembabazi,2.51,26
274,Lucky,Ainembabazi,2.27,36
2724,Richard,Ainembabazi,1.19,31
159,Ezra,Ainemukama,3.61,41
1044,Violah,Ainemukama,3.38,32
871,Alex,Ainomugisha,1.19,40
670,Asaph,Ainomugisha,3.22,32
1571,Deneth,Ainomugisha,1.02,22
706,Dickson,Ainomugisha,1.39,23
2112,Micheal,Ainomugisha,3.27,32
711,Mugumya,Ainomugisha,1.44,26
1198,Nixon,Ainomugisha,2.4,45
448,Sharon,Ainomugisha,2.78,39
346,Pius,Aisu,2.09,29
206,Robert,Aitakatahire,3.28,38
